,title,author,author code,year,figures,description,genre
5723,Die Grossmutter /,"Den, Petr,",jk01022204,1959,"Němcová, Božena,;Demetz, Hanna,;Demetz, Peter,",maďarská literatura,recenze
5724,Dva romány /,"Den, Petr,",jk01022204,1959,"Ptáčník, Karel,;Frýd, Norbert,",osobnosti,recenze
5725,"Román Zbabělci, : který vyšel v Praze roku 1958...",,,1959,"Škvorecký, Josef,",osobnosti,poznámky
5726,O zbabělcích a nosorožcích : (Předneseno na 31. mezinárodním kongresu Penklubu v Rio de Janeiro v červenci 1960.) /,"Tigrid, Pavel,",jk01132374,1959,"Škvorecký, Josef,",osobnosti,recenze
5727,Zmrtvýchvstání /,"Spender, Stephen,",ola2003174852,1959,"Conquest, Robert,",česká literatura;ruská literatura;lužickosrbská literatura;německá literatura;polská literatura;maďarská literatura,recenze
5728,O nosorožcích /,"Den, Petr,",jk01022204,1959,"Ionesco, Eugène,",finská literatura,recenze
5729,Nowa kultura /,P. M.,,1959,,polská literatura;časopisy,recenze
5730,"Hra, kterou tu otiskujeme...",,,1959,"Mrożek, Sławomir,;Rybáková, Minka,",německá literatura,poznámky
5731,Doktor Živago - osud versus dějiny /,"Tumlíř, Jan Vladimír,",jk01140402,1959,"Pasternak, Boris Leonidovič,",ruská literatura,studie
5732,Dr. Živago a současný román na Západě /,"Tumlíř, Jan Vladimír,",jk01140402,1959,"Pasternak, Boris Leonidovič,;Hampshire, Stuart,",bulharská literatura;finská literatura;japonská literatura;maďarská literatura;ruská literatura,polemiky
5733,Pod pseudonymem Abram Terz...,,,1959,"Sinjavskij, Andrej Donatovič,;Rybáková, Minka,",ruská literatura,poznámky
5734,Samomluvy a rozhovory /,"Vrána, Karel,",jn19981002366,1961,"Čep, Jan,",literatura,recenze
5735,Václav Kopecký /,"Tigrid, Pavel,",jk01132374,1961,"Kopecký, Václav,",literatura,glosy
